dist_correction_x,rot_correction,vert_correction,focal_slope,focal_distance,vert_offset_correction,dist_correction_y,laser_id,dist_correction
0.0,-0.110898220672,-0.204936560769,0.0,0.0,0.0,0.0,0,0.0
0.0,-0.0793775743807,-0.0347320521147,0.0,0.0,0.0,0.0,1,0.0
0.0,-0.0476823951645,0.0593411945678,0.0,0.0,0.0,0.0,2,0.0
0.0,-0.0158999494857,-0.0923279174305,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0158999494857,-0.0136135681656,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0476823951645,0.0804596785169,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0793775743807,-0.0712094334814,0.0,0.0,0.0,0.0,6,0.0
0.0,0.110898220672,0.0228638132011,0.0,0.0,0.0,0.0,7,0.0
0.0,-0.110898220672,-0.11344640138,0.0,0.0,0.0,0.0,8,0.0
0.0,-0.0793775743807,-0.0193731546971,0.0,0.0,0.0,0.0,9,0.0
0.0,-0.0476823951645,0.0747000919854,0.0,0.0,0.0,0.0,10,0.0
0.0,-0.0158999494857,-0.0769690200129,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0158999494857,0.00174532925199,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0476823951645,0.113097335529,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0793775743807,-0.0558505360638,0.0,0.0,0.0,0.0,14,0.0
0.0,0.110898220672,0.0382227106187,0.0,0.0,0.0,0.0,15,0.0
0.0,-0.110898220672,-0.067369709127,0.0,0.0,0.0,0.0,16,0.0
0.0,-0.0793775743807,0.0267035375555,0.0,0.0,0.0,0.0,17,0.0
0.0,-0.0476823951645,-0.161338236054,0.0,0.0,0.0,0.0,18,0.0
0.0,-0.0158999494857,-0.0308923277603,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0158999494857,0.0478220215046,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0476823951645,-0.103847090494,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0793775743807,-0.00977384381117,0.0,0.0,0.0,0.0,22,0.0
